#wamp	ramp
8192.00	1.03	others
819.20	1.03	others
8192.00	1.03	others
3.28	1.03	others
215.58	1.03	others
630.15	2.94	others
9.71	1.03	others
546.13	2.55	others
7.42	1.03	others
34.71	2.96	idx
4096.00	19.14	others
273.07	1.03	others
1.54	1.03	others
178.09	1.03	others
2.90	1.03	others
221.41	1.03	others
221.41	1.03	others
8192.00	1.03	others
8192.00	1.03	others
8192.00	1.03	others
8192.00	1.03	others
744.73	1.03	others
227.56	1.03	others
221.41	1.03	others
4.65	1.03	others
8192.00	1.03	others
2.11	1.03	others
248.24	1.09	others
8192.00	1.03	others
8192.00	1.03	others
8192.00	1.03	others
8192.00	1.03	others
8192.00	1.03	others
7.18	1.03	others
227.56	1.03	others
8192.00	38.28	others
481.88	19.14	others
5.11	1.03	others
227.56	1.03	others
234.06	1.03	others
1.75	1.03	others
221.41	1.03	others
221.41	1.03	others
3.11	1.03	others
8192.00	1.03	others
390.10	1.03	others
8192.00	1.03	others
5.29	1.03	others
8192.00	1.03	others
215.58	1.03	others
4.01	1.03	others
8192.00	1.03	others
234.06	1.03	others
1365.33	2.73	others
512.00	1.03	others
1.63	1.03	others
8192.00	38.28	others
1.65	1.03	others
8192.00	1.03	others
8192.00	1.03	others
8192.00	1.03	others
2048.00	1.03	others
221.41	1.03	others
819.20	1.03	others
2.78	1.03	others
1365.33	1.03	others
227.56	1.03	others
1.69	1.03	others
4096.00	19.14	others
227.56	1.03	others
341.33	1.60	others
2.12	1.03	others
221.41	1.03	others
1.73	1.03	others
630.15	38.28	others
8192.00	1.03	others
8192.00	1.03	others
8192.00	1.03	others
8192.00	1.03	others
2.02	1.03	others
221.41	1.03	others
240.94	1.13	others
546.13	1.91	others
227.56	1.03	others
44.04	19.14	others
8192.00	38.28	others
227.56	1.03	others
1638.40	7.66	others
3.47	1.03	others
4096.00	19.14	others
221.41	1.03	others
431.16	1.03	others
1.80	1.03	others
22.08	2.72	idx
215.58	1.03	others
227.56	1.03	others
215.58	1.03	others
11.94	1.03	others
585.14	19.14	others
221.41	1.03	others
215.58	1.03	others
221.41	1.03	others
327.68	3.83	others
22.02	1.03	others
